Date,MA,Upper_Band,Lower_Band
2021-12-20,394.41500091552496,469.39947067401874,319.43053115703117
2021-12-21,389.7950012207,461.84371390193337,317.7462885394666
2021-12-22,386.400001525875,455.52183324174393,317.27816981000603
2021-12-23,382.885002136225,445.3228564073536,320.44714786509644
2021-12-27,381.300001525875,440.75308852833473,321.8469145234153
2021-12-28,378.325001525875,429.7727124639748,326.8772905877752
2021-12-29,375.825001525875,422.1649795758579,329.4850234758921
2021-12-30,375.835002136225,422.1883993301857,329.4816049422643
2021-12-31,375.015000915525,420.76297747132537,329.2670243597246
2022-01-03,377.465000915525,423.0910520188087,331.83894981224137
2022-01-04,377.76500091552504,423.3850991579931,332.14490267305695
2022-01-05,374.440000915525,420.04552207453736,328.8344797565126
2022-01-06,371.01500091552504,413.12780356976657,328.9021982612835
2022-01-07,368.405000305175,410.83238171559054,325.9776188947595
2022-01-10,365.73500061035,407.1350970029389,324.33490421776116
2022-01-11,365.40500030517495,406.89461049231784,323.91539011803206
2022-01-12,365.865000915525,407.4695249364576,324.2604768945924
2022-01-13,363.3950012207,406.64913667039445,320.14086577100556
2022-01-14,363.18000183105,406.8224563418971,319.53754732020286
2022-01-18,361.77000274657496,409.46513553374973,314.0748699594002
2022-01-19,360.9150024414,411.85783206954113,309.9721728132589
2022-01-20,358.39000244140004,414.85651646158345,301.92348842121663
2022-01-21,352.83000183105,424.82661687127165,280.8333867908284
2022-01-24,346.350001525875,430.6338967641115,262.06610628763843
2022-01-25,338.36000137328494,433.4311994690611,243.2888032775088
2022-01-26,330.66000137328496,434.2219439695288,227.0980587770411
2022-01-27,322.89000167846,435.1456345251658,210.63436883175422
2022-01-28,315.3700012207,428.6448936495958,202.09510879180414
2022-01-31,310.710002136225,421.23904896426006,200.18095530818994
2022-02-01,305.28000183105,407.6685449761239,202.89145868597615
2022-02-02,300.795002746575,397.00034667165596,204.589658821494
2022-02-03,295.87500305175,393.07327362694275,198.67673247655728
2022-02-04,291.345002746575,386.5226371287648,196.1673683643852
2022-02-07,286.39000320434,380.6906248201764,192.0893815885036
2022-02-08,282.03500289916497,373.08324992700295,190.98675587132698
2022-02-09,277.85500259399,361.26535674032334,194.4446484476566
2022-02-10,272.17000198363996,342.8965543338724,201.4434496334075
2022-02-11,267.21000137328997,333.7024536832088,200.71754906337117
2022-02-14,261.9700012207,319.37717838681533,204.56282405458467
2022-02-15,259.06000061035,310.2420876824635,207.87791353823656
2022-02-16,256.640000915525,302.29806633904326,210.9819354920067
2022-02-17,253.04000091552498,293.16373083704684,212.9162709940031
2022-02-18,251.18500137329002,293.8123154328064,208.55768731377367
2022-02-22,248.91500091552498,296.4504457140427,201.37955611700727
2022-02-23,246.47500076294,301.6885397127,191.26146181317998
2022-02-24,245.04000091553002,303.30005490564145,186.77994692541856
2022-02-25,244.51500091552998,303.88855276148496,185.14144906957497
2022-02-28,243.205001068115,304.10659959478136,182.30340254144863
2022-03-01,239.68000106811502,299.2491808946894,180.1108212415406
